Term,Adjusted P-value
GO:0062023,1.960612328549473e-07
GO:0005788,6.472253138008015e-06
GO:0030199,1.619986854732674e-05
GO:0097435,3.09390823826377e-05
GO:0070013,0.00024552887953247323
GO:0051216,0.0004393364873024428
GO:0071560,0.0004393364873024428
GO:0045597,0.0004393364873024428
GO:0048407,0.000590811168570324
GO:0002062,0.0009161286730919392
GO:0034097,0.0009491768492434609
GO:0048706,0.0016748387350108
GO:0042476,0.0016748387350108
GO:0050678,0.002444239081915
GO:0071774,0.0031553236470753
GO:0035455,0.0031553236470753
GO:0046597,0.0031553236470753
GO:1902680,0.0032000819626932
GO:0005764,0.0040065196704725
GO:0030198,0.0040199096979416
GO:0030336,0.0040199096979416
GO:0034341,0.0040366040698721
GO:0031995,0.0045914596104551
GO:0005501,0.0045914596104551
GO:0001228,0.0045914596104551
GO:0033293,0.0045914596104551
GO:0001656,0.0046935770502802
GO:1901701,0.0047387946440143
GO:0045647,0.0047387946440143
GO:1902172,0.0047387946440143
GO:0072178,0.0047387946440143
GO:0048525,0.0047387946440143
GO:0043588,0.0047387946440143
GO:0035116,0.0047387946440143
GO:0043202,0.0051363709697437
GO:0001822,0.005242836183416
GO:0007179,0.005242836183416
GO:0031086,0.005242836183416
GO:0035456,0.005242836183416
GO:0060828,0.005242836183416
GO:0048793,0.005242836183416
GO:0035137,0.005242836183416
GO:1904181,0.005242836183416
GO:1990837,0.0058332729185453
GO:0043565,0.0058332729185453
GO:0030178,0.0060769772262672
GO:0048704,0.0063446365338354
GO:0060272,0.0067112960787367
GO:0071559,0.0069709437279712
GO:0070527,0.0069709437279712
GO:1904035,0.0071406190990265
GO:0045944,0.0071406190990265
GO:0072498,0.0071406190990265
GO:0001501,0.0071406190990265
GO:0045893,0.0071406190990265
GO:0043589,0.0071406190990265
GO:0010594,0.0071406190990265
GO:0005796,0.0073028810113225
GO:0030501,0.0073602611061099
GO:0099513,0.0081093686247052
GO:0001655,0.0084100326139811
GO:0035115,0.0084100326139811
GO:0060563,0.0084100326139811
GO:0045778,0.0089334793866878
GO:0060337,0.0089334793866878
GO:0001823,0.0091698356338625
GO:2000739,0.0091698356338625
GO:0035136,0.0091698356338625
GO:0071357,0.0091698356338625
GO:0060348,0.0091698356338625
GO:0070169,0.0091698356338625
GO:0048522,0.0092679933153593
GO:0003690,0.0094475165493122
GO:0031994,0.0094475165493122
GO:0009968,0.0098047039776893
GO:0034109,0.0099290292974941
GO:1900153,0.0100727363672756
GO:0061013,0.0100727363672756
GO:0051900,0.0100727363672756
GO:0045071,0.0105468250752715
GO:0048699,0.011063307259458
GO:0038066,0.011360443453925
GO:0051240,0.0119556984972108
GO:0141091,0.0119556984972108
GO:0050679,0.0131948334220477
GO:0005520,0.0134249241847997
GO:0140888,0.0143429699774055
GO:0032897,0.0144871268361684
GO:0030857,0.016216907172174
GO:0045661,0.016216907172174
GO:0030500,0.0166255081432914
GO:0000302,0.0172190423195104
GO:0045596,0.0172920375234257
GO:0071384,0.0175264825489764
GO:0061158,0.0195592179192696
GO:0045604,0.0196780736506824
GO:0071385,0.0196780736506824
GO:0001657,0.0196780736506824
GO:0042733,0.0196780736506824
GO:0046782,0.0196780736506824
GO:0045069,0.0196780736506824
GO:0006357,0.0196780736506824
GO:0000122,0.0196780736506824
GO:1902893,0.0196780736506824
GO:0031093,0.019696284886545
GO:0043567,0.0214447023226181
GO:2000738,0.0214447023226181
GO:0034614,0.0232420191855243
GO:1900151,0.0232450206151603
GO:0008284,0.0236156844122569
GO:0050680,0.024340014499077
GO:0045638,0.0272213940083956
GO:0007015,0.0277605194979889
GO:0001972,0.0288190543271172
GO:0048592,0.0291192528096913
GO:0043488,0.0302317483970272
GO:0005775,0.0303855785789357
GO:0042060,0.0307262692058467
GO:0042471,0.0307262692058467
GO:0035925,0.0311675174563489
GO:0051384,0.0323342159707577
GO:0046148,0.0323342159707577
GO:0007178,0.0323342159707577
GO:0007507,0.0339191801737939
GO:0010837,0.0369170133712351
GO:0000976,0.0372903039869995
GO:0090263,0.0376490575251389
GO:0031091,0.0378381971583472
GO:0071364,0.0389085404940361
GO:0071345,0.0391105975782393
GO:0010717,0.0391105975782393
GO:0045892,0.0398152904854284
GO:0050796,0.0406110410454967
GO:0019212,0.0407873408607819
GO:0045616,0.0425440327500863
GO:0070849,0.0449587734488164
GO:0004864,0.0454533343271754
GO:0000977,0.0454533343271754
